projectname,classification,preprocess_comments
jEdit-4.2,1,hack need more direct way obtain view method
jEdit-4.2,1,review how resolv thi discrep
jEdit-4.2,1,ugli workaround
jEdit-4.2,1,window work around
jEdit-4.2,1,hack sinc helpview need url
jEdit-4.2,1,whi object arg
jEdit-4.2,1,should implement getminimumlength ani idea
jEdit-4.2,1,move
jEdit-4.2,1,they never taught you thi undergrad comput scienc
jEdit-4.2,1,should cach info not class case too
jEdit-4.2,1,wtf
jEdit-4.2,1,xxx hairi code that basic just function port some other code bare understood
jEdit-4.2,1,first tri access version exact match thi first lookup seem redund with below but thi whole thing messi
jEdit-4.2,1,work around broken ftp plugin
jEdit-4.2,1,hack move space front
jEdit-4.2,1,thi feel sloppi especi non local
jEdit-4.2,1,hack get fix length field
jEdit-4.2,1,have deal with assembl the programm can write littl byte chunk all know and must assembl complet record write review mayb thi should tarbuff could that help elimin some buffer copi
jEdit-4.2,1,hack done fix bring window front least window frame tofront doesn cut it remov iswindow check it broken under other ose too
jEdit-4.2,1,thi method should rewritten use getfield and avoid dure search
jEdit-4.2,1,hack
jEdit-4.2,1,thi such bad way do it but well
jEdit-4.2,1,xxx magic number
jEdit-4.2,1,thi should probabl reflect java
jEdit-4.2,1,note see note method should roll into
jEdit-4.2,1,note use signaturekey thi way danger patholog case user could eat memori cach everi possibl combin of argument type untyp method mayb could smarter about it ignor type untyp paramet posit the method resolv could return set hint signatur key cach there also overhead creat one these everi what altern
jEdit-4.2,1,crusti workaround
jEdit-4.2,1,workaround key produc garbag window
jEdit-4.2,1,addtofavorit which static method for convini need instanc the vf pass henc thi hack
jEdit-4.2,1,allow getthi work through blocknamespac method namespac xxx re eval thi need it
jEdit-4.2,1,thi part suck
jEdit-4.2,1,these use elimin code duplic don normal use visitor templat method pattern but thi code contribut peter cox and don feel like chang around too much
jEdit-4.2,1,switch eat multi level break here not empti statement
jEdit-4.2,1,thi part suck
jEdit-4.2,1,fuck dead
jEdit-4.2,1,stupid hack handl referenc rule set that defin later
jEdit-4.2,1,jdk workaround
jEdit-4.2,1,fuck dead
jEdit-4.2,1,should next two public mayb
jEdit-4.2,1,stupid
jEdit-4.2,1,note thi method and should rewritten to invert thi logic that except need thi just temporari impl return field null not found
jEdit-4.2,1,note need singleton here that thing like thi work and probabl good idea speed cach singl instanc here seem technic could differ under case child interpret run sourc eval command howev effect just that main interpret that execut your script should one involv call back from java not know there corner case where child interpret would be first use thi refer namespac that would even caus ani problem did could some experi to find out and necessari could cach per interpret basi had weak refer might also look skip over child interpret and go parent declar interpret we sure get top interpret
jEdit-4.2,1,resolv rel class type static field inner class
jEdit-4.2,1,some regexp eg itself have length implement thi hack you don understand what go here then back watch mtv
jEdit-4.2,1,optim classofstaticmethod set then have alreadi been here and determin that thi static method invoc note mayb factor thi out with path below clean up
jEdit-4.2,1,thi will probabl not get use object type
jEdit-4.2,1,window jdk workaround
jEdit-4.2,1,thi listen prioriti thing bad hack
jEdit-4.2,1,thi doesn look pretti and mode line should probabl split into seper
jEdit-4.2,1,thi stupid and mislead but not use anywher except abov line and thi done after then will either hang forc duplic insid buffer null add claus you decid which one wors
jEdit-4.2,1,workaround hang match wa zero width not sure there is better way handl thi
jEdit-4.2,1,xxx magic number
jEdit-4.2,1,window path form list last work directori that drive list root drive you must use howev vf browser and friend strip off trail path separ variou reason work around that add drive letter path window
jEdit-4.2,1,unix set permiss port file rw that broken unic which give everyon read access user home dir peopl can see your port file and henc send arbitriari beanshel code your way nasti
jEdit-4.2,1,thi should onli call with fulli load action set
jEdit-4.2,1,broken eclips workaround febuari
jEdit-4.2,1,note thi broken find public but less specif method over non public but more specif one thi method need rewritten elimin should implement that use publiconli flag should also oper two pass give standard java assign match prioriti over extend bsh type match
jEdit-4.2,1,xxx thi should not hardcod
jEdit-4.2,1,interv oper re interv re no bk brace re interv re no bk brace open question what proper interpret start string
jEdit-4.2,1,xxx doe thi realli belong here
jEdit-4.2,1,need save everi possibl point but number clone invoc here realli killer perform non stingi repeat oper open suggest
jEdit-4.2,1,note thi should realli just throw need to chang relat signatur and code
jEdit-4.2,1,split method into constructor and regular method list
jEdit-4.2,2,need add static block here
jEdit-4.2,2,output stream that compress into bzip format without file header char into anoth stream todo updat bzip author liddl
jEdit-4.2,2,pars xml declar pre xmldecl lt xml versioninfo encodingdecl sddecl gt versioninfo sddecl ye no encodingdecl qencod pre also signific the and whitespac have alreadi been read todo valid valu standalon see parsetextdecl see checkencod
jEdit-4.2,2,implement recurs getclassimpl
jEdit-4.2,2,need some format check here
jEdit-4.2,2,need calcul thi just fudg here now
jEdit-4.2,2,todo also check reg anchorindex vs anchor
jEdit-4.2,2,skip header byte mayb should check they valid not
jEdit-4.2,2,debug util static that they reachabl code that have interpret refer trace util in futur may want allow debug trace turn on per interpret basi which case we need use parent refer some way determin scope command that turn off
jEdit-4.2,2,pars element content model element choic seq cp cp choic ctokplu ctok ctokplu cp cp ctok cp cp seq stok stok stok cp cp note open and have alreadi been read todo over paramet entiti boundari more care
jEdit-4.2,2,need calcul thi just fudg here now
jEdit-4.2,2,thi convent may chang
jEdit-4.2,2,pars attribut type atttyp stringtyp tokenizedtyp enumeratedtyp stringtyp tokenizedtyp enumeratedtyp notationtyp enumer todo valid type
jEdit-4.2,2,need calcul thi just fudg here now
jEdit-4.2,0,noth
jEdit-4.2,0,constructor
jEdit-4.2,0,getrat method
jEdit-4.2,0,
jEdit-4.2,0,writemark method
jEdit-4.2,0,instanc variabl
jEdit-4.2,0,privat member
jEdit-4.2,0,addnotifi method
jEdit-4.2,0,foldlevelchang method
jEdit-4.2,0,thi will result slight speed up sinc don need read dtd anyway aelfr non valid
jEdit-4.2,0,startel method
jEdit-4.2,0,createtoc method
jEdit-4.2,0,selectionhandl class
jEdit-4.2,0,ensur that activ view save last creat last next load front next load
jEdit-4.2,0,memorystatu class
jEdit-4.2,0,writestringarray method
jEdit-4.2,0,nexttip method
jEdit-4.2,0,creat button
jEdit-4.2,0,contentremov method
jEdit-4.2,0,installbutton class
jEdit-4.2,0,undo method
jEdit-4.2,0,can backward scan start
jEdit-4.2,0,creat new hashtabl necessari
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,privat member
jEdit-4.2,0,getnam method
jEdit-4.2,0,
jEdit-4.2,0,lineel constructor
jEdit-4.2,0,save method
jEdit-4.2,0,tri super import avail note thi last allow explicitli import class and packag take prioriti thi method will also throw an error indic ambigu exist
jEdit-4.2,0,clear method
jEdit-4.2,0,begin static member
jEdit-4.2,0,bgen jjtree returnstat
jEdit-4.2,0,arbitrari flag
jEdit-4.2,0,leav buffer consist state error occur
jEdit-4.2,0,
jEdit-4.2,0,note have fit eof and block not full thi broken archiv doe not follow standard block algorithm howev becaus gener and requir littl effort will simpli ignor error and continu entir block read thi doe not appear break anyth upstream use return fals thi case thank thi fix
jEdit-4.2,0,
jEdit-4.2,0,code abov build index suffix array but shift index ignor origin th element
jEdit-4.2,0,addkeybind method
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,load method
jEdit-4.2,0,
jEdit-4.2,0,set type variabl alway local oper
jEdit-4.2,0,
jEdit-4.2,0,bufferopen method
jEdit-4.2,0,contentinsert method
jEdit-4.2,0,isexpand method
jEdit-4.2,0,
jEdit-4.2,0,loadtoolbutton method
jEdit-4.2,0,setlineendoffset method
jEdit-4.2,0,return type class
jEdit-4.2,0,index zptr origin string after sort
jEdit-4.2,0,updatemodel method
jEdit-4.2,0,
jEdit-4.2,0,use stringreplac and beanshel replac radio button that user can press tab from find field replac field one
jEdit-4.2,0,hashcod method
jEdit-4.2,0,file begin with utf signatur discard signatur and read remaind utf
jEdit-4.2,0,method
jEdit-4.2,0,use content undeclar avoid overwrit exist element declar
jEdit-4.2,0,method
jEdit-4.2,0,don overstrik we end line
jEdit-4.2,0,
jEdit-4.2,0,hidelibrariesbutton class
jEdit-4.2,0,method
jEdit-4.2,0,getlastview method
jEdit-4.2,0,privat member
jEdit-4.2,0,keywordmap constructor
jEdit-4.2,0,
jEdit-4.2,0,chang import preced class bodi instanc
jEdit-4.2,0,getfoldhandl method
jEdit-4.2,0,physdown method scroll down physic line amount
jEdit-4.2,0,default implement subclass can extend thi
jEdit-4.2,0,null type correspond type primit null assign ani object type
jEdit-4.2,0,method
jEdit-4.2,0,static import field from interfac that code insid can refer field directli height
jEdit-4.2,0,setbound method
jEdit-4.2,0,read extern identifi
jEdit-4.2,0,stop method
jEdit-4.2,0,point return statement point had one els implicit return what case here
jEdit-4.2,0,instanc variabl
jEdit-4.2,0,
jEdit-4.2,0,geticon method
jEdit-4.2,0,dockingoptionpan constructor
jEdit-4.2,0,setexpans method
jEdit-4.2,0,createeditpan method
jEdit-4.2,0,start method
jEdit-4.2,0,repaint gutter that border color reflect focu state
jEdit-4.2,0,invok method
jEdit-4.2,0,overflow
jEdit-4.2,0,inner class
jEdit-4.2,0,non word charact select behavior
jEdit-4.2,0,onlystat
jEdit-4.2,0,evalu block two pass first class declar then everyth els
jEdit-4.2,0,actionhandl class
jEdit-4.2,0,
jEdit-4.2,0,animatedicon constructor
jEdit-4.2,0,complet word command need list all non alphanumer charact use keyword map
jEdit-4.2,0,end constructor
jEdit-4.2,0,structur highlight
jEdit-4.2,0,end instanc data
jEdit-4.2,0,we remov from first visibl after last visibl
jEdit-4.2,0,static initi
jEdit-4.2,0,vf browser ha what you might call design flaw doesn updat properli unless vf updat parent arriv befor ani updat children sort list alphanumer guarante thi
jEdit-4.2,0,getexpans method
jEdit-4.2,0,statusbaroptionpan constructor
jEdit-4.2,0,
jEdit-4.2,0,method
jEdit-4.2,0,true hide search bar after user done with
jEdit-4.2,0,gutterborderwidth new
jEdit-4.2,0,foldhandl constructor
jEdit-4.2,0,privat member
jEdit-4.2,0,unwrap ani primit
jEdit-4.2,0,wrapper primit convert valu primit and check cast it
jEdit-4.2,0,getfoldmod method
jEdit-4.2,0,method
jEdit-4.2,0,buttonlayout class
jEdit-4.2,0,stylerender constructor
jEdit-4.2,0,
jEdit-4.2,0,method
jEdit-4.2,0,onlystat
jEdit-4.2,0,setvalueat method
jEdit-4.2,0,instanc variabl
jEdit-4.2,0,buttoncellrender class
jEdit-4.2,0,getabbrevfield method
jEdit-4.2,0,method
jEdit-4.2,0,onlystat
jEdit-4.2,0,method
jEdit-4.2,0,getfield method
jEdit-4.2,0,method
jEdit-4.2,0,onlystat
jEdit-4.2,0,runscript method
jEdit-4.2,0,
jEdit-4.2,0,getselect method
jEdit-4.2,0,
jEdit-4.2,0,expand those that non empti and remov those that empti
jEdit-4.2,0,field tri properti acc
jEdit-4.2,0,word boundari mean input index word charact and input index not input index word charact and input index not string one two three these posit match current charact letter digit previou charact letter digit
jEdit-4.2,0,need thi public not protect
jEdit-4.2,0,start not skip token null
jEdit-4.2,0,not field tri properti access
jEdit-4.2,0,save method
jEdit-4.2,0,
jEdit-4.2,0,empti drive not report file
jEdit-4.2,0,shouldn happen
jEdit-4.2,0,redraw whole tabl becaus second shortcut might have chang too
jEdit-4.2,0,
jEdit-4.2,0,set method paramet local namespac
jEdit-4.2,0,
jEdit-4.2,0,need thi simplifi it code
jEdit-4.2,0,instanc variabl
jEdit-4.2,0,undon when file let get usernam use it
jEdit-4.2,0,method
jEdit-4.2,0,primit wrapper type
jEdit-4.2,0,
jEdit-4.2,0,how much occurr titl worth
jEdit-4.2,0,setrat method
jEdit-4.2,0,getcolumnnam method
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,seticon method
jEdit-4.2,0,
jEdit-4.2,0,getcomplet method
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,privat member
jEdit-4.2,0,updateen method
jEdit-4.2,0,actionbar constructor
jEdit-4.2,0,modeproperti class
jEdit-4.2,0,gotoactionbar method
jEdit-4.2,0,bind ani port localhost accept simultan connect attempt befor reject connect
jEdit-4.2,0,getfram method
jEdit-4.2,0,getcursor method
jEdit-4.2,0,
jEdit-4.2,0,onli allow legal java assign unless we cast oper
jEdit-4.2,0,complet method
jEdit-4.2,0,removeposit method
jEdit-4.2,0,completionpopup class
jEdit-4.2,0,getmenunam method
jEdit-4.2,0,
jEdit-4.2,0,method
jEdit-4.2,0,alia
jEdit-4.2,0,becaus it prefer size can quit wide don want make browser way too big set prefer width
jEdit-4.2,0,
jEdit-4.2,0,figur out what we read from
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,closeview method
jEdit-4.2,0,onli add plugin branch there optionpan
jEdit-4.2,0,exit doe editor event save
jEdit-4.2,0,getcod method
jEdit-4.2,0,bsh system
jEdit-4.2,0,enhancedmenu constructor
jEdit-4.2,0,loadmodecatalog method
jEdit-4.2,0,updateen method
jEdit-4.2,0,
jEdit-4.2,0,thank sreenivasa viswanadha suggest how get rid here
jEdit-4.2,0,
jEdit-4.2,0,onli one clean buffer open replac
jEdit-4.2,0,
jEdit-4.2,0,caret collaps fold collaps parent fold
jEdit-4.2,0,
jEdit-4.2,0,site properti load default properti overwrit jedit system properti
jEdit-4.2,0,
jEdit-4.2,0,maintain backward compat
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,thi vf ha extend attribut which not list add end with ref count
jEdit-4.2,0,
jEdit-4.2,0,updat method
jEdit-4.2,0,
jEdit-4.2,0,actionhandl class
jEdit-4.2,0,
jEdit-4.2,0,packag privat member
jEdit-4.2,0,
jEdit-4.2,0,first sub fold use
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,copi index copi size instruct resiz futur offset jump instruct
jEdit-4.2,0,
jEdit-4.2,0,if equal not explicitli defin must overrid default implement thi object protocol support xthi equal must test equal with the gener proxi object not script bsh thi caller from outsid java will not see proxi object equal itself
jEdit-4.2,0,
jEdit-4.2,0,set renam fals file select
jEdit-4.2,0,
jEdit-4.2,0,method
jEdit-4.2,0,
jEdit-4.2,0,enhancedmenu ha refer editbusstub but not other way around when enhancedmenu be garbag collect it final method remov editbusstub from edit bu
jEdit-4.2,0,tipoftheday constructor
jEdit-4.2,0,fontrendercontext frc new bound dim new
jEdit-4.2,0,ok method
jEdit-4.2,0,getfoldlevel method
jEdit-4.2,0,init callstack
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,bsh cwd
jEdit-4.2,0,refer may allow
jEdit-4.2,0,actionperform method
jEdit-4.2,0,don want show byte size etc
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,privat member
jEdit-4.2,0,end current block with mani new successor
jEdit-4.2,0,ok method
jEdit-4.2,0,evalu final block
jEdit-4.2,0,bshclassmanag
jEdit-4.2,0,look script class object
jEdit-4.2,0,
jEdit-4.2,0,privat member
jEdit-4.2,0,applet can see sy prop
jEdit-4.2,0,
jEdit-4.2,0,ok method
jEdit-4.2,0,gotoprevmark method
jEdit-4.2,0,bsh interact
jEdit-4.2,0,add new insert entri allindex and allsiz array
jEdit-4.2,0,actionhandl class
jEdit-4.2,0,still need call statu check even option off that write protect updat chang disk
jEdit-4.2,0,cancel method
jEdit-4.2,0,case alreadi initi un initi
jEdit-4.2,0,changedupd method
jEdit-4.2,0,instal instanc thi method namespac see note bshmethod
jEdit-4.2,0,thi help littl
jEdit-4.2,0,iter iter time improv tabl
jEdit-4.2,0,keyhandl class
jEdit-4.2,0,constant input
jEdit-4.2,0,tri sync consol
jEdit-4.2,0,
jEdit-4.2,0,cancel method
jEdit-4.2,0,don gener privat constructor
jEdit-4.2,0,setmodel method
jEdit-4.2,0,symbol
jEdit-4.2,0,documenthandl class
jEdit-4.2,0,helpindex constructor public helpindex string filelistpath string
jEdit-4.2,0,actiontextfield class
jEdit-4.2,0,read valu normal whitespac not cdata
jEdit-4.2,0,insertupd method
jEdit-4.2,0,older jedit version use doctyp catalog which incorrect sinc doctyp must name root element which mode
jEdit-4.2,0,method
jEdit-4.2,0,compon that will parent ani dialog box
jEdit-4.2,0,
jEdit-4.2,0,method
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,
jEdit-4.2,0,init method
jEdit-4.2,0,method
jEdit-4.2,0,never call
jEdit-4.2,0,completeword constructor
jEdit-4.2,0,mark follow
jEdit-4.2,0,closedialog constructor
jEdit-4.2,0,set non proxi host list
jEdit-4.2,0,uc must begin with xml xc uc unusu
jEdit-4.2,0,max line length
jEdit-4.2,0,selectlinerang constructor
jEdit-4.2,0,jump offset goto newoffset now comput from start goto
jEdit-4.2,0,bsh help
jEdit-4.2,0,fontselectordialog constructor
jEdit-4.2,0,
jEdit-4.2,0,reload fold handler doesn chang but still need re collaps fold don thi initi fold handler creation
jEdit-4.2,0,
jEdit-4.2,0,getdock method
jEdit-4.2,0,loadsystemprop method
jEdit-4.2,0,show tip day
jEdit-4.2,0,loaduserprop method
jEdit-4.2,0,actionperform method
jEdit-4.2,0,bsh
jEdit-4.2,0,one or more repeat oper depend re bk plu qm not avail re limit op set
jEdit-4.2,0,
jEdit-4.2,0,end abstractoptionpan implement
jEdit-4.2,0,instanc variabl
jEdit-4.2,0,comput stack size variat order not recomput sever time thi variat same item use intval field thi item store thi variat onc ha been comput more precis thi intval field store size argument and return valu correspond desc
jEdit-4.2,0,listhandl class
jEdit-4.2,0,begin beanshel modif made condit debug
jEdit-4.2,0,
jEdit-4.2,0,minimumlayouts method
jEdit-4.2,0,closebuff method
jEdit-4.2,0,it not class hash and not mark non exist tri load from classpath
jEdit-4.2,0,geticonheight method
jEdit-4.2,0,thi assemlen numtowrit
jEdit-4.2,0,privat member
jEdit-4.2,0,creat copi thi dockabl window and float
jEdit-4.2,0,privat member
jEdit-4.2,0,perform cast cast check assign check param totyp class type cast result which may type byte type totyp may null indic loos type assign which match ani fromtyp class type valu cast includ java primit type class should null indic that fromvalu would be fromvalu object bsh primit primit valu primit void param checkonli checkonli true then fromvalu must null fromtyp check cast totyp if checkonli fals then fromvalu must ok and actual cast utilevalerror invalid assign when oper is assign throw utiltargeterror wrap classcastexcept cast error when oper cast param oper type cast
jEdit-4.2,0,
jEdit-4.2,0,fix hang that can occur as new filenam which requir re sort
jEdit-4.2,0,completeword method
jEdit-4.2,0,
jEdit-4.2,0,getcomplet method
jEdit-4.2,0,
